index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36047003900,2455.0,1192.0,1263.0,0.17059999999999997,0.5205,0.1,0.0,0.1408,0.08070000000000001,3003900.0,['320 SCHERMERHORN STREET'],['LinkNYC - Citybridge'],39,['Brooklyn'],2
36047004100,3540.0,1594.0,1946.0,0.0801,0.6708,0.1206,0.0,0.0805,0.0605,3004100.0,['348 ATLANTIC AVENUE'],['LinkNYC - Citybridge'],41,['Brooklyn'],3
36047004300,3191.0,1743.0,1448.0,0.1704,0.6809000000000001,0.0403,0.0,0.050300000000000004,0.08070000000000001,3004300.0,['160 Schermerhorn St.'],['Downtown Brooklyn'],43,['Brooklyn'],8
36047005300,2423.0,1363.0,1060.0,0.3204,0.48090000000000005,0.0908,0.0,0.030299999999999997,0.2202,3005300.0,['7 WOLCOTT STREET'],['BPL'],53,['Brooklyn'],12
36047005400,3406.0,1592.0,1814.0,0.14,0.7309,0.0103,0.0,0.0908,0.1502,3005400.0,['9424 FOURTH AVENUE'],['BPL'],54,['Brooklyn'],2
36047006000,2717.0,1332.0,1385.0,0.1603,0.6506000000000001,0.0004,0.0,0.1506,0.1804,3006000.0,['86 St (R)'],['Transit Wireless'],60,['Brooklyn'],1
36047006600,3797.0,1745.0,2052.0,0.2208,0.6409,0.0103,0.0008,0.0909,0.15,3006600.0,['7223 RIDGE BOULEVARD'],['BPL'],66,['Brooklyn'],1
36047006700,3799.0,1855.0,1944.0,0.0704,0.8704000000000001,0.0008,0.0,0.0203,0.030699999999999998,3006700.0,['396 CLINTON STREET'],['BPL'],67,['Brooklyn'],2
36047006900,3582.0,1598.0,1984.0,0.17079999999999998,0.6701,0.0404,0.0,0.0501,0.0403,3006900.0,['71 WYCKOFF STREET'],['LinkNYC - Citybridge'],69,['Brooklyn'],6
36047007400,6061.0,3240.0,2821.0,0.7103,0.0603,0.0005,0.0007000000000000001,0.2003,0.3208,3007400.0,"['59 St (N,R)']",['Transit Wireless'],74,['Brooklyn'],1
36047007500,4774.0,2446.0,2328.0,0.1503,0.6908,0.0001,0.0,0.1106,0.0401,3007500.0,['244 SMITH STREET'],['LinkNYC - Citybridge'],75,['Brooklyn'],5
36047007700,4409.0,2199.0,2210.0,0.1702,0.7103,0.0106,0.0,0.0507,0.05,3007700.0,"['Carroll St (F,G)']",['Transit Wireless'],77,['Brooklyn'],3
36047007800,5493.0,2822.0,2671.0,0.8004000000000001,0.050300000000000004,0.0305,0.0,0.0907,0.2509,3007800.0,['5108 4 AVENUE'],['BPL'],78,['Brooklyn'],1
36047008000,4373.0,2247.0,2126.0,0.7807,0.09050000000000001,0.0301,0.0,0.0702,0.1502,3008000.0,['45 St (R)'],['Transit Wireless'],80,['Brooklyn'],1
36047008200,4148.0,2063.0,2085.0,0.7202,0.10039999999999999,0.0102,0.0,0.15039999999999998,0.33049999999999996,3008200.0,['4201 4 AVENUE'],['LinkNYC - Citybridge'],82,['Brooklyn'],1
36047008400,3860.0,2171.0,1689.0,0.7701,0.1606,0.0101,0.0,0.0401,0.3002,3008400.0,['899 4 AVENUE'],['LinkNYC - Citybridge'],84,['Brooklyn'],4
